1|Fields-Sanchez|Croatia|True
2|Harris, Hill and Moore|Croatia|True
3|Nguyen-Weeks|Chile|True
4|Ramsey, Anderson and Mcgee|New Zealand|False
5|Arellano-Espinoza|USA|False
6|Evans Ltd|Argentina|True
7|Martinez Group|Chile|False
8|Rich, Johnson and Carr|Brazil|True
9|Gould-Fuentes|New Zealand|False
10|Colon, Washington and Cruz|Greece|False
11|Chan, Johnson and Woods|Moldova|False
12|Clayton, Greene and Le|Moldova|False
13|Jackson-Snyder|Bulgaria|False
14|Erickson Ltd|Russia|True
15|Cross and Sons|Bulgaria|False
16|Kelley Group|Australia|False
17|Johnson-Castillo|Moldova|True
18|Price-Stewart|China|True
19|Stewart, Avila and Webb|New Zealand|False
20|Macdonald Inc|Germany|False
21|Hernandez-Harrison|Australia|False
22|Ford, Glenn and Sanchez|Spain|True
23|Marquez, Wells and Graham|Bulgaria|False
24|Ray Group|USA|True
25|Sanchez-Larson|Croatia|False
26|Garcia-Morrison|New Zealand|True
27|Sanchez Group|Germany|False
28|Morgan Inc|Moldova|True
29|Collins PLC|Argentina|True
30|Thomas LLC|Greece|True
31|Horne, Hunt and Mahoney|Portugal|False
32|Robinson PLC|Germany|True
33|Harper PLC|New Zealand|True
34|Craig and Sons|Portugal|True
35|Schneider-Chen|USA|True
36|Walker, Hall and Johnston|Germany|True
37|Wolf, Dunn and Rodgers|Germany|False
38|Stark-Bridges|Brazil|False
39|Ponce-Davenport|USA|False
40|Cooley-Russell|Germany|True
41|Smith-Scott|Hungary|False
42|Estrada-House|France|True
43|Mcpherson-Deleon|Spain|False
44|Williams-Coleman|Argentina|True
45|Woodward, Torres and Moore|Hungary|True
46|Russell-Nelson|France|False
47|Greer, Brown and Arnold|Moldova|False
48|Torres and Sons|Italy|True
49|Carrillo and Sons|Moldova|False
50|Hayes, Brewer and Moore|USA|False
51|Norman Group|Bulgaria|True
52|Mccall, Joseph and Davis|Spain|True
53|Brooks LLC|Croatia|False
54|Odom PLC|Italy|False
55|Woods Ltd|South Africa|True
56|Reid and Sons|Moldova|False
57|Chavez, Johnson and Wheeler|Bulgaria|False
58|Phillips, Sanchez and Harding|Russia|True
59|Franklin-Moore|USA|False
60|Williams-Haney|Austria|False
61|Buckley Group|Bulgaria|True
62|Black, Francis and Michael|Germany|True
63|Murphy, Hayden and Bowman|Moldova|True
64|Evans, Durham and Robinson|Australia|False
65|Perez-Vance|Romania|True
66|Smith, Carter and Briggs|Greece|False
67|Williams Inc|China|False
68|Herman, Bartlett and Flores|Portugal|True
69|Mcgee, Richard and Hill|Brazil|True
70|Brown, Houston and Stone|France|False
71|Randall-Reed|Portugal|False
72|Walters and Sons|Brazil|False
73|May, Austin and Shaw|Germany|False
74|Ortega, Shelton and Jones|Portugal|False
75|Shaffer, Pratt and Lee|Italy|False
76|Reyes Group|France|True
77|Case, Smith and Green|Hungary|False
78|Carr, Crawford and Kim|USA|True
79|Taylor-Riddle|Brazil|False
80|Moreno-Orozco|Austria|True
81|Garrison and Sons|China|False
82|Rodriguez, Reyes and White|Brazil|False
83|Fernandez-Lambert|Australia|True
84|Cunningham, Brooks and Burch|China|True
85|Perez-Dillon|Germany|False
86|Mcdonald LLC|Australia|True
87|Walsh-Garcia|Australia|False
88|Jones, Jones and Wiley|Argentina|True
89|Conner and Sons|Germany|True
90|Peck, Henry and Rios|Austria|True
91|Baker, Vargas and Griffin|Croatia|True
92|Smith-Sullivan|Russia|True
93|Hughes-Sanchez|Croatia|True
94|Hawkins, Obrien and Wright|Bulgaria|True
95|Thompson Inc|China|False
96|Hill, Wilcox and Brown|Hungary|False
97|Lopez, Bryant and Williamson|Greece|False
98|Hayes-Harris|Australia|False
99|Ramirez Ltd|Bulgaria|True
100|Johnson, Peters and Ramos|Romania|False
